,negative,neutral,positive
aground,10,0,0
agru,3.321928095,0,3.321928095
agt,2.095903274,0,5.678873587
agua,3.321928095,0,3.321928095
aguascalienteswher,0,0,2.5
aguayo,3.321928095,0,3.321928095
aguilar,5.678873587,0,2.095903274
aguilera,2.5,0,0
aguirr,1.660964047,0,8.00392278
aguirresarob,0,0,2.5
agust,0,0,5
agutt,0,0,5
ah,4.08787351,0.544754119,2.625735225
aha,6.261707716,0,1.953570044
ahab,5.094382474,0,2.276179338
ahahhahahaha,2.5,0,0
ahappi,0,0,5
aharon,2.5,0,0
ahd,2.5,0,0
ahead,2.860946316,0.369218832,3.86186121
ahearn,0,0,7.5
aheil,0,0,2.5
ahem,8.00392278,0,1.660964047
ahern,2.5,0,0
ahet,2.5,0,0
ahh,2.9203673,0,3.798794065
ahhh,1.660964047,0,8.00392278
ahhhh,2.512941595,1.430676558,2.512941595
ahhhhh,2.5,0,0
ahhhhhh,2.095903274,0,5.678873587
ahhhhhhh,2.5,0,0
ahhhhhhhhhhhhhh,0,0,2.5
ahigh,2.5,0,0
ahista,0,0,5
ahistor,2.5,0,0
ahlstedt,0,0,2.5
ahm,1.660964047,0,8.00392278
ahmad,0,0,57.5
ahmedabad,0,0,2.5
ahmet,0,0,2.5
ahna,5.678873587,0,2.095903274
ahola,0,2.5,0
ahold,4.11458208,1.183294662,1.838005394
ahora,3.321928095,0,3.321928095
ahorrifi,0,0,2.5
ahould,0,0,2.5
ahoy,12.5,0,0
aht,2.5,0,0
ahuntin,2.5,0,0
ahv,2.5,0,0
ai,3.689127928,0.691009536,2.717562738
aibo,0,0,2.5
aicha,0,0,5
aicn,2.5,0,0
aid,2.026655522,0,5.946579828
aida,5.678873587,0,2.095903274
aidan,1.35068935,0,11.47444617
aiden,5.938086057,0,2.028745202
aiello,1.660964047,0,8.00392278
aielo,0,0,2.5
aif,0,2.5,0
aight,3.321928095,0,3.321928095
aihara,0,0,2.5
aik,0,0,2.5
aikawa,0,0,2.5
aiken,1.582220363,0,8.66600549
aikido,5.678873587,0,2.095903274
ail,2.059501374,0.706727092,5.063562809
aileen,1.35068935,0,11.47444617
aileron,2.5,0,0
ailleur,0,0,2.5
ailment,5,0,0
ailtan,2.5,0,0
ailton,0,0,2.5
aim,4.94645058,0.412391263,2.305977578
aimabl,2.5,0,0
aimanov,2.5,0,0
aime,3.02120993,0,3.662986595
aimless,10.6491166,0,1.406065422
ain,4.474428082,0.540890014,2.432769572
aina,0,0,5
